name,suburb,category,lng,lat,value,vouchers
Pilates with Dan,Belconnen,things to do,149.0639795,-35.2419565,2130,44
Potbelly Bar,Belconnen,food & drinks,149.062639,-35.24187,220,5
ProfessioNail Belconnen,Belconnen,personal care,149.0663602,-35.2382256,2530,93
Rashays Casual Dining Belconnen,Belconnen,food & drinks,149.0651904,-35.2380717,6430,231
Regal Restaurant Belconnen,Belconnen,food & drinks,149.0613556,-35.2385406,890,31
Remedy By LSR Belconnen,Belconnen,food & drinks,149.0678111,-35.2393022,220,10
Sakura Place,Belconnen,food & drinks,149.0650422,-35.2380765,180,16
Savoury Kitchen,Belconnen,food & drinks,149.0650422,-35.2380765,1100,51
Selections Bistro @ Belconnen Labor Club,Belconnen,food & drinks,149.0707295,-35.2403344,680,29
Sichuan Chinese Restaurant,Belconnen,food & drinks,149.0695953,-35.2361045,4730,145
Stella's By The Lake,Belconnen,food & drinks,149.0655091,-35.2359575,240,16
Subway Belconnen Westfield,Belconnen,food & drinks,149.0650422,-35.2380765,870,42
Super Emoji Belconnen,Belconnen,food & drinks,149.0650422,-35.2380765,1920,99
Sushi Musa Belconnen,Belconnen,food & drinks,149.065187,-35.2378367,3270,123
Sushi Sushi Belconnen 2,Belconnen,food & drinks,149.0650422,-35.2380765,650,44
Sushi Sushi Belconnen,Belconnen,food & drinks,149.0650422,-35.2380765,1010,69
Tasty Fish,Belconnen,food & drinks,149.0650422,-35.2380765,5310,214
Thai Ayutthaya Restaurant,Belconnen,food & drinks,149.0717572,-35.2376708,860,29
Thai Chiang Rai Belconnen,Belconnen,food & drinks,149.0709726,-35.2367308,2870,71
The Basement Canberra,Belconnen,food & drinks,149.0591805,-35.2403715,170,8
The Coffee Club Belconnen,Belconnen,food & drinks,149.0650422,-35.2380765,530,30
The Food Forum,Belconnen,retail,149.0650422,-35.2380765,10560,414
The Hungry Buddha,Belconnen,food & drinks,149.0596926,-35.2365416,900,23
The Source Bulk Foods Belconnen,Belconnen,retail,149.0650422,-35.2380765,2900,118
Tom's Superfruits,Belconnen,retail,149.0653763,-35.2459699,230,8
Turkish Kebab & Pizza Belconnen,Belconnen,food & drinks,149.0607422,-35.2367109,1740,77
U Accessories,Belconnen,retail,149.0650422,-35.2380765,610,28
UPS Belconnen Unit Trust,Belconnen,retail,149.0650422,-35.2380765,410,13
Wokitup! Belconnen,Belconnen,food & drinks,149.0714767,-35.2371567,250,17
Wood Tang,Belconnen,food & drinks,149.0700087,-35.2361286,540,14
